,Hash,Total,Positives,Link,Extension
0,2a922ebe7edb08480baa1721ce1b5185fb5af7f64ec0f128d6a7a37711784815,65,1,https://www.virustotal.com/gui/file/2a922ebe7edb08480baa1721ce1b5185fb5af7f64ec0f128d6a7a37711784815/detection/f-2a922ebe7edb08480baa1721ce1b5185fb5af7f64ec0f128d6a7a37711784815-1631648420,exe
1,df23113f3c534e5becbd452bf2ad92cbcf2a92641f775f4f579c91ad7c0ac7f4,57,0,https://www.virustotal.com/gui/file/df23113f3c534e5becbd452bf2ad92cbcf2a92641f775f4f579c91ad7c0ac7f4/detection/f-df23113f3c534e5becbd452bf2ad92cbcf2a92641f775f4f579c91ad7c0ac7f4-1627876652,exe
2,b6e97dbf4ec13dec0324ab2d66b8c771d4da6539087d84bf009b9a80b0f78799,66,0,https://www.virustotal.com/gui/file/b6e97dbf4ec13dec0324ab2d66b8c771d4da6539087d84bf009b9a80b0f78799/detection/f-b6e97dbf4ec13dec0324ab2d66b8c771d4da6539087d84bf009b9a80b0f78799-1629183967,exe
3,33aaf68843e2936dfd3665e5cdb76a3d5372fff42fe66f4f2b35886066a0380e,69,1,https://www.virustotal.com/gui/file/33aaf68843e2936dfd3665e5cdb76a3d5372fff42fe66f4f2b35886066a0380e/detection/f-33aaf68843e2936dfd3665e5cdb76a3d5372fff42fe66f4f2b35886066a0380e-1628057222,exe
4,b2ded3ce4b19a18844d4aa90b60dfc1a8d3e9cd7649e7478c524d5c9d035fccc,69,0,https://www.virustotal.com/gui/file/b2ded3ce4b19a18844d4aa90b60dfc1a8d3e9cd7649e7478c524d5c9d035fccc/detection/f-b2ded3ce4b19a18844d4aa90b60dfc1a8d3e9cd7649e7478c524d5c9d035fccc-1627876908,exe
5,af647fcba328c6a41c6512dc34248b7c0413d5db337be2cba1fc3761855ddce6,69,0,https://www.virustotal.com/gui/file/af647fcba328c6a41c6512dc34248b7c0413d5db337be2cba1fc3761855ddce6/detection/f-af647fcba328c6a41c6512dc34248b7c0413d5db337be2cba1fc3761855ddce6-1629183978,exe
6,fbba0c95a318e9c7f37915f2fc273321a668e668696e821cab1b013ad8fe496b,62,0,https://www.virustotal.com/gui/file/fbba0c95a318e9c7f37915f2fc273321a668e668696e821cab1b013ad8fe496b/detection/f-fbba0c95a318e9c7f37915f2fc273321a668e668696e821cab1b013ad8fe496b-1629183972,
7,4a43f1eef4605f99278e609a8d372bc2386fb8f63ba6999e3ff5c3b80142a6f9,67,0,https://www.virustotal.com/gui/file/4a43f1eef4605f99278e609a8d372bc2386fb8f63ba6999e3ff5c3b80142a6f9/detection/f-4a43f1eef4605f99278e609a8d372bc2386fb8f63ba6999e3ff5c3b80142a6f9-1627876905,exe
8,9f488edf5ed634d8f50d0a08fdf2eb24e22106c0f22954f3b30f5aa0a366c505,68,1,https://www.virustotal.com/gui/file/9f488edf5ed634d8f50d0a08fdf2eb24e22106c0f22954f3b30f5aa0a366c505/detection/f-9f488edf5ed634d8f50d0a08fdf2eb24e22106c0f22954f3b30f5aa0a366c505-1627876913,exe
9,69b5a97bd24aee318b2afc50506bfeced8ceee010cdf8268522ea9b5e912ce84,69,0,https://www.virustotal.com/gui/file/69b5a97bd24aee318b2afc50506bfeced8ceee010cdf8268522ea9b5e912ce84/detection/f-69b5a97bd24aee318b2afc50506bfeced8ceee010cdf8268522ea9b5e912ce84-1627876915,exe
10,d3062f93740551d2f3aa0a386587f7cc5ab4c524477845ca4d2544764d0bf119,69,0,https://www.virustotal.com/gui/file/d3062f93740551d2f3aa0a386587f7cc5ab4c524477845ca4d2544764d0bf119/detection/f-d3062f93740551d2f3aa0a386587f7cc5ab4c524477845ca4d2544764d0bf119-1627876917,exe
11,ca6710ac624c4badd89606d2d46270b68a494b9778a109477955f6403d77493e,69,0,https://www.virustotal.com/gui/file/ca6710ac624c4badd89606d2d46270b68a494b9778a109477955f6403d77493e/detection/f-ca6710ac624c4badd89606d2d46270b68a494b9778a109477955f6403d77493e-1627876919,exe
12,1e171264f1310680b03bb9122633db660378bc411b28ae25c2bfab9f0f06da51,65,0,https://www.virustotal.com/gui/file/1e171264f1310680b03bb9122633db660378bc411b28ae25c2bfab9f0f06da51/detection/f-1e171264f1310680b03bb9122633db660378bc411b28ae25c2bfab9f0f06da51-1629183984,exe
13,c3afcf2e6f64303f8377793255b38f6d677ca8eab9eddae65693c1235d05a1ae,69,0,https://www.virustotal.com/gui/file/c3afcf2e6f64303f8377793255b38f6d677ca8eab9eddae65693c1235d05a1ae/detection/f-c3afcf2e6f64303f8377793255b38f6d677ca8eab9eddae65693c1235d05a1ae-1627876655,exe
14,9765f6a4ef2630731553c298e3bf079a7fd28d04413d0ed7dbaa697e81592252,64,0,https://www.virustotal.com/gui/file/9765f6a4ef2630731553c298e3bf079a7fd28d04413d0ed7dbaa697e81592252/detection/f-9765f6a4ef2630731553c298e3bf079a7fd28d04413d0ed7dbaa697e81592252-1627876924,exe
15,70bffc9c81bde425bbd3b2eaf54fb82764d15808f92e9338d2b954a5b912b43b,69,0,https://www.virustotal.com/gui/file/70bffc9c81bde425bbd3b2eaf54fb82764d15808f92e9338d2b954a5b912b43b/detection/f-70bffc9c81bde425bbd3b2eaf54fb82764d15808f92e9338d2b954a5b912b43b-1627876927,exe
16,d752be52e51756f597a1e346255bf400a31063c70c9c7c724c06b2d620d5212a,68,0,https://www.virustotal.com/gui/file/d752be52e51756f597a1e346255bf400a31063c70c9c7c724c06b2d620d5212a/detection/f-d752be52e51756f597a1e346255bf400a31063c70c9c7c724c06b2d620d5212a-1627876929,exe
17,5a0f4fa2c578675590ac317e392f78abfc19577a7f8c964e708a1ad436e58a37,67,0,https://www.virustotal.com/gui/file/5a0f4fa2c578675590ac317e392f78abfc19577a7f8c964e708a1ad436e58a37/detection/f-5a0f4fa2c578675590ac317e392f78abfc19577a7f8c964e708a1ad436e58a37-1629183989,exe
18,667fba10a1775750b3b63be899f4b097841c71ce531f52366bd47b6b4c474a0f,69,0,https://www.virustotal.com/gui/file/667fba10a1775750b3b63be899f4b097841c71ce531f52366bd47b6b4c474a0f/detection/f-667fba10a1775750b3b63be899f4b097841c71ce531f52366bd47b6b4c474a0f-1627876936,exe
19,7637ebd20f2b197995d6876d3cd4b01479614f5c0859bf8466b1ec956c6b1993,69,0,https://www.virustotal.com/gui/file/7637ebd20f2b197995d6876d3cd4b01479614f5c0859bf8466b1ec956c6b1993/detection/f-7637ebd20f2b197995d6876d3cd4b01479614f5c0859bf8466b1ec956c6b1993-1627876933,exe
20,193cd70a73e750a178eb91b05b8a15f988b1499cb77c37c9a9f2e2e22d98ce59,61,0,https://www.virustotal.com/gui/file/193cd70a73e750a178eb91b05b8a15f988b1499cb77c37c9a9f2e2e22d98ce59/detection/f-193cd70a73e750a178eb91b05b8a15f988b1499cb77c37c9a9f2e2e22d98ce59-1629183994,exe
21,c60ebcad6dcbc20fd27872ee4ae92b83950420867ab7a4769bac9d1a4f25e067,69,0,https://www.virustotal.com/gui/file/c60ebcad6dcbc20fd27872ee4ae92b83950420867ab7a4769bac9d1a4f25e067/detection/f-c60ebcad6dcbc20fd27872ee4ae92b83950420867ab7a4769bac9d1a4f25e067-1629183999,exe
22,60fd82f9261ab7faf0d168d623c0e16f8b587ea7ec5aa441c3a5944f439cbacb,66,0,https://www.virustotal.com/gui/file/60fd82f9261ab7faf0d168d623c0e16f8b587ea7ec5aa441c3a5944f439cbacb/detection/f-60fd82f9261ab7faf0d168d623c0e16f8b587ea7ec5aa441c3a5944f439cbacb-1629184005,exe
23,3bc5906d625e95dfb4744c2baa1e1a5d1b3f73ee663cc149f02ef7eaf23986c0,68,0,https://www.virustotal.com/gui/file/3bc5906d625e95dfb4744c2baa1e1a5d1b3f73ee663cc149f02ef7eaf23986c0/detection/f-3bc5906d625e95dfb4744c2baa1e1a5d1b3f73ee663cc149f02ef7eaf23986c0-1629184011,exe
24,832bdee44d637d7334b3300db73550de552988d6c15af917572eba6b0077770c,69,0,https://www.virustotal.com/gui/file/832bdee44d637d7334b3300db73550de552988d6c15af917572eba6b0077770c/detection/f-832bdee44d637d7334b3300db73550de552988d6c15af917572eba6b0077770c-1627876657,exe
25,4a495b476cc33e6be712a77184626725ec10e3f31b89d3c53010bd620bcd0cbb,68,0,https://www.virustotal.com/gui/file/4a495b476cc33e6be712a77184626725ec10e3f31b89d3c53010bd620bcd0cbb/detection/f-4a495b476cc33e6be712a77184626725ec10e3f31b89d3c53010bd620bcd0cbb-1629184016,exe
26,857e2db65d56ec90bf7ffd3c51df4e9c577ca6576e399065f3220a5195e1f9bb,68,0,https://www.virustotal.com/gui/file/857e2db65d56ec90bf7ffd3c51df4e9c577ca6576e399065f3220a5195e1f9bb/detection/f-857e2db65d56ec90bf7ffd3c51df4e9c577ca6576e399065f3220a5195e1f9bb-1629184023,exe
27,fb79aa9861b147460e71653b2c01129cc0911efc6c1f97c6377d96f47d651da2,69,1,https://www.virustotal.com/gui/file/fb79aa9861b147460e71653b2c01129cc0911efc6c1f97c6377d96f47d651da2/detection/f-fb79aa9861b147460e71653b2c01129cc0911efc6c1f97c6377d96f47d651da2-1627876955,
28,ba8f214c82e335b1b003114bf92450b47e1e07d8e23a165564405a2338c755e1,64,0,https://www.virustotal.com/gui/file/ba8f214c82e335b1b003114bf92450b47e1e07d8e23a165564405a2338c755e1/detection/f-ba8f214c82e335b1b003114bf92450b47e1e07d8e23a165564405a2338c755e1-1629184028,exe
29,ecf9e6567852f1a45dd6068ed197aa22cfac0121fdc0c3a2e9367dd6cc85fcae,69,0,https://www.virustotal.com/gui/file/ecf9e6567852f1a45dd6068ed197aa22cfac0121fdc0c3a2e9367dd6cc85fcae/detection/f-ecf9e6567852f1a45dd6068ed197aa22cfac0121fdc0c3a2e9367dd6cc85fcae-1627876960,
30,9dbe301e6b832184a624e97ee08735397aeb656e4fcb98c2388a57deb2f33e76,67,1,https://www.virustotal.com/gui/file/9dbe301e6b832184a624e97ee08735397aeb656e4fcb98c2388a57deb2f33e76/detection/f-9dbe301e6b832184a624e97ee08735397aeb656e4fcb98c2388a57deb2f33e76-1629184033,exe
31,463046a6d4263478667cb43d534df3cf65b4e3b26a71ccfa7c3d64d29e2c6d8a,68,0,https://www.virustotal.com/gui/file/463046a6d4263478667cb43d534df3cf65b4e3b26a71ccfa7c3d64d29e2c6d8a/detection/f-463046a6d4263478667cb43d534df3cf65b4e3b26a71ccfa7c3d64d29e2c6d8a-1627876965,exe
32,a5d76d29280af398aeb406063676620060a5d0cb28b2d33d917f41a5c06e4d84,69,0,https://www.virustotal.com/gui/file/a5d76d29280af398aeb406063676620060a5d0cb28b2d33d917f41a5c06e4d84/detection/f-a5d76d29280af398aeb406063676620060a5d0cb28b2d33d917f41a5c06e4d84-1627876967,exe
33,fbfdedb850f535b635f17053f33bad5e5f72785a576ba5a8b1c6adff4488b430,67,0,https://www.virustotal.com/gui/file/fbfdedb850f535b635f17053f33bad5e5f72785a576ba5a8b1c6adff4488b430/detection/f-fbfdedb850f535b635f17053f33bad5e5f72785a576ba5a8b1c6adff4488b430-1629184039,
