,file type,hash(SHA256),Vt_link,File_Exten
0,txt,5a4c68fec59d388a0840769af7ce211bcf6ddff95e40749ed35013a126b137b4,https://www.virustotal.com/gui/file/5a4c68fec59d388a0840769af7ce211bcf6ddff95e40749ed35013a126b137b4,Text
1,data,26c89233b4f22f5b20bad12246c419fb402f591af4096b2c776dce7f323dc875,https://www.virustotal.com/gui/file/26c89233b4f22f5b20bad12246c419fb402f591af4096b2c776dce7f323dc875,unknown
2,COM executable for DOS,f5c2d69ce72f7e579076555b0fd14dd7c47f93bf8d55c14c854746366633c962,https://www.virustotal.com/gui/file/f5c2d69ce72f7e579076555b0fd14dd7c47f93bf8d55c14c854746366633c962,DOS COM
3,"MS-DOS executable, MZ for MS-DOS",d6b5405d6822c79a3abccfe0d34f058dca0ebc5973ed40c3e4a48f8862361cae,https://www.virustotal.com/gui/file/d6b5405d6822c79a3abccfe0d34f058dca0ebc5973ed40c3e4a48f8862361cae,Win32 DLL
4,"DOS floppy 1440k, DOS/MBR hard disk boot sector",4b55f967af9355a38056bb08be4ccbd9735b06f9d2a6af56f4b7bda106773c7a,https://www.virustotal.com/gui/file/4b55f967af9355a38056bb08be4ccbd9735b06f9d2a6af56f4b7bda106773c7a,unknown
5,GIF image data 3425 x 15370,cde3470de344c74d1d50b4f1dfa41c01207303253215ffeff04730c28b781cd2,https://www.virustotal.com/gui/file/cde3470de344c74d1d50b4f1dfa41c01207303253215ffeff04730c28b781cd2,GIF
6,MS-DOS executable,410ffb0abc7b94b640aa3718ae4b9d225c1de6a8b6b9fefd64d7a79ed7734f6f,https://www.virustotal.com/gui/file/410ffb0abc7b94b640aa3718ae4b9d225c1de6a8b6b9fefd64d7a79ed7734f6f,Win32 EXE
7,"DOS/MBR boot sector, code offset 0x49+2, OEM-ID ""MSWIN4.0"", sectors/cluster 16, root entries 512, Media descriptor 0xf8, sectors/FAT 255, sectors/track 63, heads 32, hidden sectors 63, sectors 1042209 (volumes > 32 MB) , serial number 0x305c1b06, label: ""           "", FAT (16 bit)",2041d42cdc44b45574408a5991f2b6bdc14eed3769f0d502c1ab926d9d2d00c8,https://www.virustotal.com/gui/file/2041d42cdc44b45574408a5991f2b6bdc14eed3769f0d502c1ab926d9d2d00c8,unknown
8,DOS executable (COM),4cd57f6d7ba0559a8fe1307f4f0eb74121d8ae55dfda621b0f35ee8bfd7c8bd9,https://www.virustotal.com/gui/file/4cd57f6d7ba0559a8fe1307f4f0eb74121d8ae55dfda621b0f35ee8bfd7c8bd9,DOS EXE
9,"news, ASCII text, with CRLF line terminators",14270d9e4f1d8ce8df36a6c00d646822dcc16385837d5fe4cd36a29c203136f8,https://www.virustotal.com/gui/file/14270d9e4f1d8ce8df36a6c00d646822dcc16385837d5fe4cd36a29c203136f8,unknown
10,"HTML document, UTF-8 Unicode text, with very long lines, with CRLF, LF line terminators",112e0d4c2193f44aeb8b14c0a20a2982b0656b517a333f33fe79a02aa5d5a25d,https://www.virustotal.com/gui/file/112e0d4c2193f44aeb8b14c0a20a2982b0656b517a333f33fe79a02aa5d5a25d,HTML
11,ASCII text,3ec5de4c2554cc5e71b76d70117f4959d99058f6711fc766ef40d283b95d4c93,https://www.virustotal.com/gui/file/3ec5de4c2554cc5e71b76d70117f4959d99058f6711fc766ef40d283b95d4c93,Text
12,"HTML document, ASCII text, with very long lines, with CRLF, LF line terminators",44475aaf4cc21908b201aaec0a2686ce8f2798bf532daab73aa455153ca2b4e0,https://www.virustotal.com/gui/file/44475aaf4cc21908b201aaec0a2686ce8f2798bf532daab73aa455153ca2b4e0,HTML
